Site1,Site2,Treatment,Block,PointID,Observer,Date,Year1,Year2,TimeofSurvey,Visit,Noise,Sky,Wind,Species,Time1,Time2,Time3,Time4,Time5,Distance,Sex,Detection
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,WEWA,1,1,1,1,0,25-50,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,WEWA,1,0,1,1,0,25-50,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,OVEN,0,1,0,0,1,25-50,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,OVEN,0,1,0,0,0,25-50,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,SCTA,0,1,0,0,0,50-75,U,C
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,REVI,0,0,1,1,1,0-25,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,NOCA,0,0,0,1,1,50-75,M,S
BL,BL,5060,ROW1,A,ES,5/24/16,2016,0,756,1,0,1,0,CHSP,0,0,0,0,1,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,OVEN,1,1,1,1,1,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,WOTH,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BTNW,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BTNW,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BCCH,1,0,0,0,0,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,VEER,1,0,0,0,0,0-25,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,EATO,1,0,0,0,0,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BCCH,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,OVEN,1,1,1,1,1,50-75,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,DEJU,1,1,0,0,0,0-25,U,V
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BTNW,0,1,1,1,0,50-75,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,YTVI,0,1,0,1,1,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,EATO,0,0,1,1,0,0-25,M,V
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,NOFL,0,0,0,1,1,25-50,M,S
LC,LC1,15020,ROW1,A,KH,5/26/16,2016,0,605,1,1,2,0,BTBW,0,0,0,0,1,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,WOTH,1,1,1,1,1,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,OVEN,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,BTNW,1,1,1,1,1,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,OVEN,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,YTVI,1,1,0,0,0,50-75,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,OVEN,1,0,1,1,0,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,YTVI,1,1,0,0,0,0-25,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,OVEN,1,1,1,1,1,50-75,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,AMRO,1,1,1,1,1,0-25,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,NOFL,0,1,0,1,0,50-75,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,GRCA,0,1,1,0,0,25-50,U,C
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,BCCH,0,0,1,1,0,50-75,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,AMGO,0,0,1,0,0,0-25,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,BTBW,0,0,1,1,0,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,GRCA,0,0,1,1,1,25-50,U,C
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,BTBW,0,0,0,1,1,25-50,M,S
LC,LC1,15020,ROW1,B,KH,5/26/16,2016,0,624,1,1,2,0,OVEN,0,0,0,0,1,50-75,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,WOTH,1,1,1,1,1,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,AMRO,1,1,1,1,1,0-25,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,BTNW,1,1,1,0,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,EATO,1,1,0,0,0,50-75,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,OVEN,1,1,1,1,1,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,OVEN,1,1,1,1,1,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,AMCR,1,0,0,0,0,50-75,U,C
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,YTVI,0,1,1,0,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,OVEN,0,1,1,0,1,50-75,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,BTBW,0,1,1,0,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,BCCH,0,0,1,1,1,50-75,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,KEWA,0,0,1,1,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,BTNW,0,0,1,1,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,BTBW,0,0,1,1,0,25-50,M,S
LC,LC1,10020,ROW1,A,KH,5/26/16,2016,0,644,1,0,2,0,OVEN,0,0,0,0,1,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BTBW,1,1,1,1,1,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,EATO,1,1,0,0,1,0-25,U,C
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,COYE,1,1,1,1,1,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,OVEN,1,0,0,1,1,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,EATO,1,0,0,0,0,25-50,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,BCCH,1,1,1,1,1,50-75,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,COYE,1,1,1,1,1,0-25,M,S
LC,LC1,10020,ROW1,B,KH,5/26/16,2016,0,701,1,0,2,0,OVEN,1,1,0,1,1,25-50,M,S
