"","Site1","Site2","Treatment","Block","PointID","Observer","Date","Year1","Year2","TimeofSurvey","Noise","Sky","Wind","Species","Time1","Time2","Time3","Time4","Time5","Distance","Sex","Detection"
"1","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"EATO",1,0,0,0,0,"25-50","M","S"
"2","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"RWBL",1,0,0,0,0,"0-25","M","S"
"3","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"COYE",1,1,0,1,1,"0-25","M","S"
"4","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"TUTI",1,1,1,1,1,"0-25","M","S"
"5","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"AMCR",1,1,1,0,0,"25-50","U","S"
"6","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"AMCR",1,1,1,1,1,"25-50","U","S"
"7","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"BLJA",1,0,0,0,0,"0-25","M","S"
"8","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"NOCA",1,1,1,1,1,"25-50","M","S"
"9","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"EATO",1,1,1,0,1,"25-50","M","S"
"10","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"NOCA",0,1,1,1,1,"25-50","M","S"
"11","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"TUTI",0,0,1,1,1,"0-25","M","S"
"12","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"AMCR",0,0,0,0,1,"50-75","M","S"
"13","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"CACH",0,1,0,0,0,"0-25","M","S"
"14","SJ","SJ","CtlRw","ROW1","B","KH","5/3/2016",2016,0,628,NA,4,1,"REVI",0,0,0,1,0,"0-25","M","S"
"15","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"CORA",1,1,0,1,0,"50-75","M","S"
"16","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"AMCR",1,1,1,1,0,"25-50","M","S"
"17","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"CACH",1,1,0,1,0,"0-25","M","C"
"18","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"TUTI",1,1,1,0,0,"0-25","M","S"
"19","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"RWBL",1,1,1,0,0,"25-50","M","S"
"20","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"RWBL",1,1,0,0,0,"25-50","M","S"
"21","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"BRTH",1,1,1,1,0,"0-25","M","S"
"22","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"EATO",1,1,1,0,0,"0-25","M","S"
"23","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"REVI",1,1,1,1,0,"25-50","M","S"
"24","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"MAWA",0,1,1,1,0,"0-25","M","S"
"25","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"BWWA",0,1,1,1,0,"0-25","M","S"
"26","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"EATO",0,0,1,0,0,"25-50","M","S"
"27","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"AMCR",1,1,1,1,0,"25-50","M","S"
"28","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"COYE",0,0,0,1,1,"25-50","M","S"
"29","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"RWBL",0,0,0,0,1,"0-25","F","V"
"30","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"RWBL",0,0,0,0,1,"0-25","F","V"
"31","SJ","SJ","CtlRw","ROW1","A","KH","5/3/2016",2016,0,649,NA,4,1,"AMRO",1,1,1,0,0,"25-50","M","S"
"32","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"AMCR",1,1,1,1,0,"75-100","M","S"
"33","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"BLJA",1,1,0,0,0,"25-50","M","S"
"34","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"AMRO",1,1,0,0,0,"0-25","U","V"
"35","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"TUTI",1,1,1,1,0,"0-25","M","V"
"36","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"INBU",1,1,1,0,0,"0-25","M","S"
"37","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"TUTI",1,0,0,0,0,"75-100","M","S"
"38","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"AMCR",0,1,1,1,0,">100","M","S"
"39","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"OVEN",0,1,1,1,0,"25-50","M","S"
"40","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"YTVI",0,1,1,0,1,"0-25","M","S"
"41","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"TUTI",1,1,1,0,1,"0-25","M","S"
"42","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"EATO",1,0,0,0,0,"0-25","M","S"
"43","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"EATO",1,0,1,0,0,"0-25","M","S"
"44","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"EATO",1,0,1,0,0,"0-25","M","S"
"45","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"FISP",0,1,0,0,0,"25-50","M","S"
"46","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"TUTI",0,0,1,0,0,"25-50","M","S"
"47","SJ","SJ","5060","ROW1","B","KH","5/3/2016",2016,0,759,NA,2,0,"OVEN",0,1,1,1,0,"0-25","M","S"
"48","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"REVI",1,1,1,0,0,"25-50","M","S"
"49","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMCR",1,1,1,0,0,"50-75","M","S"
"50","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMCR",1,0,0,0,0,"25-50","M","S"
"51","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"TUTI",1,0,0,0,0,"50-75","M","S"
"52","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"OVEN",1,1,1,1,1,"50-75","M","S"
"53","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"BTNW",1,0,0,0,0,"25-50","M","S"
"54","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMCR",1,0,0,0,0,"0-25","M","S"
"55","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"AMCR",1,0,1,0,0,"0-25","U","F"
"56","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"KEWA",0,1,1,0,1,"25-50","M","S"
"57","SJ","SJ","5060","ROW1","A","KH","5/3/2016",2016,0,820,NA,2,0,"NOCA",0,0,1,1,0,"25-50","M","S"
